,SPRING1,SPRING2,type,Neutrophil PT
24536,-1528.542,589.57,Meg,-1.0
24538,1547.37,-168.4,Monocyte,-1.0
24542,600.025,-421.816,Undifferentiated,30977.0
24544,1394.08,-2187.452,Neutrophil,49599.0
24545,-1168.222,281.977,Undifferentiated,-1.0
24546,2520.858,-76.639,Monocyte,-1.0
24547,1050.76,-2002.395,Neutrophil,47397.0
24549,-1038.953,-1756.204,Baso,-1.0
24553,833.99,-233.274,Undifferentiated,-1.0
24554,-1389.666,556.807,Meg,-1.0
24555,7.558,623.893,Undifferentiated,9526.0
24557,3002.251,591.026,Monocyte,-1.0
24558,2592.294,-557.879,Undifferentiated,-1.0
24564,472.072,-293.577,Undifferentiated,27552.0
24565,722.424,-1575.217,Neutrophil,44680.0
24566,2576.839,-361.976,Monocyte,-1.0
24568,2079.044,-368.317,Monocyte,-1.0
24569,2728.383,-233.776,Monocyte,-1.0
24573,1949.697,-2168.115,Neutrophil,53388.0
24575,522.07,-299.597,Undifferentiated,27407.0
24576,478.226,-766.275,Undifferentiated,37562.0
24577,1626.334,-174.653,Monocyte,-1.0
24578,-1004.758,-1032.847,Baso,-1.0
24580,2150.118,-1072.77,Undifferentiated,-1.0
24581,-812.197,-2135.625,Baso,-1.0
24584,262.113,663.15,Undifferentiated,7201.0
24585,-799.27,-652.093,Baso,-1.0
24586,1823.426,-127.087,Monocyte,-1.0
24587,-589.534,-264.723,Undifferentiated,-1.0
24588,983.315,-1939.275,Neutrophil,47014.0
24591,2462.795,-479.951,Monocyte,-1.0
24592,376.552,-167.939,Undifferentiated,28427.0
24597,-1638.937,-879.59,Mast,-1.0
24598,-1315.203,219.242,Erythroid,-1.0
24600,2831.167,3.68,Monocyte,-1.0
24601,956.656,-1953.749,Neutrophil,45719.0
24609,1873.7,-302.216,Monocyte,-1.0
24611,-1429.355,190.227,Erythroid,-1.0
24613,1498.038,-2176.257,Neutrophil,49682.0
24616,417.252,-55.149,Undifferentiated,21560.0
24617,1390.544,-461.272,Undifferentiated,-1.0
24619,822.428,201.495,Undifferentiated,-1.0
24621,2968.502,267.859,Monocyte,-1.0
24622,-1144.88,480.711,Undifferentiated,-1.0
24626,707.08,-356.753,Undifferentiated,-1.0
24628,57.792,537.202,Undifferentiated,10247.0
24629,-735.818,-529.815,Undifferentiated,-1.0
24630,1687.929,-303.929,Monocyte,-1.0
24631,-492.736,-201.226,Undifferentiated,-1.0
24632,-1003.856,-1951.93,Baso,-1.0
24635,845.606,-569.862,Undifferentiated,-1.0
24637,834.774,-279.928,Undifferentiated,-1.0
24640,2939.112,232.896,Monocyte,-1.0
24642,1812.607,-1773.824,Undifferentiated,-1.0
24643,2377.758,-1965.089,Neutrophil,56313.0
24644,2081.816,-2081.775,Neutrophil,54326.0
24645,-1760.855,-896.153,Mast,-1.0
24647,1835.752,-215.269,Monocyte,-1.0
24649,-805.467,351.777,Undifferentiated,-1.0
24650,732.245,-95.339,Undifferentiated,-1.0
24652,-1059.833,-1926.144,Baso,-1.0
24653,-1004.055,-1970.681,Baso,-1.0
24654,1795.803,-384.805,Monocyte,-1.0
24659,1670.873,-275.661,Monocyte,-1.0
24660,-1070.673,-164.965,Undifferentiated,-1.0
24663,2096.521,-193.899,Monocyte,-1.0
24667,897.444,-177.718,Undifferentiated,-1.0
24669,864.377,-1827.004,Neutrophil,46522.0
24671,1278.211,-255.828,Undifferentiated,-1.0
24674,-891.631,-1933.188,Baso,-1.0
24675,-817.223,-2146.002,Baso,-1.0
24679,-1893.793,850.023,Meg,-1.0
24680,692.738,-1575.13,Neutrophil,44629.0
24681,-1669.399,627.922,Meg,-1.0
24683,1788.641,-380.585,Monocyte,-1.0
24684,-1755.631,-940.654,Mast,-1.0
24690,467.145,-347.27,Undifferentiated,30628.0
24691,2499.918,-96.06,Monocyte,-1.0
24692,3017.897,441.127,Monocyte,-1.0
24699,2684.986,-1385.59,Neutrophil,55326.0
24700,726.167,-529.033,Undifferentiated,33870.0
24701,753.17,-478.06,Undifferentiated,32753.0
24702,1069.088,-1802.174,Neutrophil,46952.0
24704,-511.555,423.919,Undifferentiated,-1.0
24705,2616.371,-213.769,Monocyte,-1.0
24707,2408.402,-280.309,Monocyte,-1.0
24708,2404.443,-1154.67,Undifferentiated,-1.0
24711,718.554,-887.329,Neutrophil,37931.0
24715,-912.141,-816.072,Baso,-1.0
24716,2530.691,-171.899,Monocyte,-1.0
24721,539.085,-731.4,Undifferentiated,37630.0
24722,336.92,-528.013,Undifferentiated,37439.0
24723,2209.231,-572.682,Undifferentiated,-1.0
24724,2334.927,-383.837,Monocyte,-1.0
24730,718.294,-1088.921,Neutrophil,40218.0
24732,639.042,-983.724,Neutrophil,41198.0
24733,-1042.534,453.994,Undifferentiated,-1.0
24737,436.059,143.801,Undifferentiated,21755.0
24743,1008.23,-459.698,Undifferentiated,-1.0
24744,2496.586,-220.057,Monocyte,-1.0
24753,931.666,-493.173,Undifferentiated,-1.0
24754,-896.787,-854.864,Baso,-1.0
24760,2433.905,-1239.677,Undifferentiated,-1.0
24763,-1895.089,-984.49,Mast,-1.0
24765,484.012,616.243,Undifferentiated,-1.0
24766,2501.012,-266.779,Monocyte,-1.0
24767,1156.839,-2114.643,Neutrophil,48633.0
24773,532.034,-255.252,Undifferentiated,25528.0
24774,793.301,-1522.569,Neutrophil,44981.0
24775,1418.612,-2038.285,Neutrophil,49957.0
24778,1103.154,-2057.969,Neutrophil,46773.0
24784,426.643,-4.458,Undifferentiated,21082.0
24785,1462.041,-333.309,Monocyte,-1.0
24786,-1758.493,-948.466,Mast,-1.0
24787,-1580.05,594.193,Meg,-1.0
24788,2271.408,-416.429,Monocyte,-1.0
24789,1770.292,-2184.429,Neutrophil,50026.0
24790,2996.127,206.303,Monocyte,-1.0
24791,-519.839,-1640.042,Eos,-1.0
24792,2196.486,-2062.812,Neutrophil,54800.0
24800,1688.762,-214.778,Monocyte,-1.0
24801,-1456.979,-769.297,Mast,-1.0
24805,1388.619,-455.455,Undifferentiated,-1.0
24808,2735.083,-102.233,Monocyte,-1.0
24810,2873.863,291.245,Monocyte,-1.0
24814,2543.323,-1898.041,Neutrophil,58161.0
24816,-644.235,-388.529,Undifferentiated,-1.0
24817,1157.112,-193.671,Undifferentiated,-1.0
24819,493.896,-130.163,Undifferentiated,24187.0
24821,2502.533,-632.766,Undifferentiated,-1.0
24822,1688.598,-1605.685,Undifferentiated,-1.0
24825,2851.142,541.017,Monocyte,-1.0
24827,451.065,29.388,Undifferentiated,18952.0
24828,1658.056,-265.089,Monocyte,-1.0
24829,100.73,313.361,Undifferentiated,15612.0
24830,2525.014,3.985,Monocyte,-1.0
24833,1878.564,-2168.754,Neutrophil,53890.0
24837,173.254,111.731,Undifferentiated,22930.0
24839,519.425,164.083,Undifferentiated,-1.0
24842,2969.495,257.358,Monocyte,-1.0
24845,737.28,-296.26,Undifferentiated,-1.0
24846,828.863,-218.56,Undifferentiated,-1.0
24848,3014.283,521.125,Monocyte,-1.0
24849,-1101.083,298.103,Undifferentiated,-1.0
24853,2122.025,48.27,Monocyte,-1.0
24855,1196.729,-336.524,Undifferentiated,-1.0
24857,1044.877,-1669.446,Undifferentiated,46875.0
24858,1862.257,-2123.85,Neutrophil,51538.0
24865,637.421,-964.814,Neutrophil,39263.0
24866,2616.05,-136.375,Monocyte,-1.0
24867,982.138,-1930.83,Neutrophil,47393.0
24871,1373.031,-297.819,Monocyte,-1.0
24873,-997.024,-1967.155,Baso,-1.0
24876,708.971,-1581.345,Neutrophil,44439.0
24886,400.482,30.258,Undifferentiated,21527.0
24887,867.802,-654.945,Undifferentiated,-1.0
24888,2814.552,-28.332,Monocyte,-1.0
24902,635.5,-922.274,Neutrophil,37979.0
24904,2138.15,-455.967,Monocyte,-1.0
24906,27.651,7.311,Undifferentiated,25213.0
24909,-1103.172,-1653.031,Baso,-1.0
24912,-1245.855,-504.563,Undifferentiated,-1.0
24913,528.494,-589.93,Undifferentiated,33114.0
24915,661.138,-1308.542,Neutrophil,42033.0
24916,1222.704,-2112.89,Neutrophil,49658.0
24917,1939.208,-110.776,Monocyte,-1.0
24921,2864.503,38.238,Monocyte,-1.0
24924,728.729,125.441,Undifferentiated,-1.0
24925,1296.67,-544.384,Undifferentiated,-1.0
24926,623.445,-1424.808,Neutrophil,44155.0
24927,50.104,569.771,Undifferentiated,10150.0
24928,2015.597,-317.957,Monocyte,-1.0
24931,-577.371,-1424.062,Eos,-1.0
24933,720.888,-1429.642,Neutrophil,42901.0
24934,2256.479,-470.717,Monocyte,-1.0
24935,2553.128,27.295,Monocyte,-1.0
24936,2309.146,-265.01,Monocyte,-1.0
24938,-979.367,-1901.202,Baso,-1.0
24939,2040.366,-2123.514,Neutrophil,54017.0
24941,2593.147,-326.882,Monocyte,-1.0
24942,-63.667,849.977,Undifferentiated,6835.0
24943,1517.722,-389.051,Monocyte,-1.0
24944,560.513,-927.732,Neutrophil,40521.0
24945,2985.146,248.018,Monocyte,-1.0
24946,2029.253,-192.381,Monocyte,-1.0
24949,-1849.209,-941.886,Mast,-1.0
24951,2878.212,38.011,Monocyte,-1.0
24954,732.282,-384.155,Undifferentiated,-1.0
24955,444.584,-739.871,Undifferentiated,37938.0
24956,2715.457,11.62,Monocyte,-1.0
24957,2241.955,-371.205,Monocyte,-1.0
24958,1811.169,-252.763,Monocyte,-1.0
24959,646.866,-930.475,Neutrophil,34052.0
24962,2523.212,-1890.367,Neutrophil,57642.0
24966,2827.54,139.407,Monocyte,-1.0
24967,1635.125,-2194.481,Neutrophil,51493.0
24968,2675.514,-324.153,Monocyte,-1.0
24973,1923.079,-273.678,Monocyte,-1.0
24974,1887.015,-293.424,Monocyte,-1.0
24976,1353.024,-2173.652,Neutrophil,49532.0
24977,-1874.563,1084.278,Meg,-1.0
24978,2500.547,175.958,Monocyte,-1.0
24980,1415.416,-479.2,Undifferentiated,-1.0
24981,861.895,-1868.742,Neutrophil,46180.0
24985,2875.168,211.227,Monocyte,-1.0
24986,2252.358,-143.031,Monocyte,-1.0
24991,913.409,-262.439,Undifferentiated,-1.0
24992,598.485,-710.357,Undifferentiated,34510.0
24993,2574.347,-617.066,Undifferentiated,-1.0
24997,1168.426,-2095.025,Neutrophil,48688.0
24999,1047.331,-1980.597,Neutrophil,47030.0
25000,-1235.894,246.035,Erythroid,-1.0
25001,1412.056,-434.443,Monocyte,-1.0
25002,-1690.228,-909.52,Mast,-1.0
25003,2942.601,253.075,Monocyte,-1.0
25005,-872.691,-2136.07,Baso,-1.0
25010,814.938,-406.757,Undifferentiated,-1.0
25016,1469.028,927.55,Undifferentiated,-1.0
25025,1894.922,-2144.971,Neutrophil,53377.0
25031,1008.606,-425.444,Undifferentiated,-1.0
25032,571.805,-442.365,Undifferentiated,29534.0
25033,2250.01,-133.854,Monocyte,-1.0
25037,2727.767,279.804,Monocyte,-1.0
25042,604.874,479.608,Undifferentiated,-1.0
25043,286.24,281.445,Undifferentiated,16577.0
25055,1913.279,-47.204,Monocyte,-1.0
25056,2981.749,183.671,Monocyte,-1.0
25058,2342.361,-296.263,Monocyte,-1.0
25064,999.499,-514.763,Undifferentiated,-1.0
25065,663.542,-814.097,Undifferentiated,37127.0
25066,1306.814,-260.182,Undifferentiated,-1.0
25068,-467.249,-208.322,Undifferentiated,-1.0
25069,1584.426,-2119.056,Neutrophil,51599.0
25071,2415.482,-684.051,Undifferentiated,-1.0
25073,2332.496,-408.057,Monocyte,-1.0
25075,535.609,-556.601,Undifferentiated,32743.0
25076,-1899.202,1024.313,Meg,-1.0
25077,601.426,-608.207,Undifferentiated,39465.0
25078,789.292,-1692.042,Neutrophil,45914.0
25079,-1064.25,-262.517,Undifferentiated,-1.0
25082,797.244,-190.356,Undifferentiated,-1.0
25084,433.11,-56.538,Undifferentiated,24931.0
25086,665.308,-1224.508,Neutrophil,40639.0
25089,1171.51,-1816.783,Neutrophil,48321.0
25090,-193.598,921.213,Undifferentiated,2491.0
25095,537.678,-544.211,Undifferentiated,34898.0
25096,514.564,5.228,Undifferentiated,-1.0
25097,857.446,-1830.63,Neutrophil,44940.0
25098,-1043.82,-1189.424,Baso,-1.0
25099,1660.335,-340.975,Monocyte,-1.0
25101,-934.058,411.308,Undifferentiated,-1.0
25103,-392.075,35.724,Undifferentiated,-1.0
25107,266.921,3.475,Undifferentiated,20836.0
25109,567.443,-1245.475,Neutrophil,42456.0
25115,2001.687,-2140.009,Neutrophil,53889.0
25119,705.521,-1367.549,Neutrophil,43573.0
25120,629.996,-908.44,Neutrophil,40562.0
25125,2080.915,-2136.971,Neutrophil,54210.0
25130,613.566,-1222.656,Neutrophil,42352.0
25131,612.983,42.015,Undifferentiated,-1.0
25132,2893.903,188.984,Monocyte,-1.0
25135,2209.21,-392.866,Monocyte,-1.0
25138,439.65,-136.156,Undifferentiated,24150.0
25140,812.032,-1729.176,Neutrophil,45556.0
25141,958.681,-868.039,Undifferentiated,-1.0
25142,1984.212,-323.426,Monocyte,-1.0
25144,1797.461,-1962.752,Undifferentiated,52311.0
25145,2418.832,-347.822,Monocyte,-1.0
25148,-1087.874,-1531.544,Baso,-1.0
25150,-1804.6,691.449,Meg,-1.0
25151,-1371.811,228.055,Erythroid,-1.0
25152,1611.615,-320.911,Monocyte,-1.0
25155,2558.371,205.814,Monocyte,-1.0
25156,-872.181,-2155.618,Baso,-1.0
25160,575.864,-775.716,Undifferentiated,38201.0
25161,1705.853,-125.123,Monocyte,-1.0
25162,1697.153,-2196.785,Neutrophil,52803.0
25163,2850.012,38.013,Monocyte,-1.0
25169,918.078,-534.255,Undifferentiated,-1.0
25170,1048.82,-1974.289,Neutrophil,47804.0
25171,737.547,-1614.01,Neutrophil,45344.0
25172,2891.404,55.118,Monocyte,-1.0
25173,1422.229,-1974.649,Undifferentiated,49738.0
25174,2878.807,141.707,Monocyte,-1.0
25178,2688.001,-353.935,Monocyte,-1.0
25180,685.05,-1395.713,Neutrophil,44590.0
25181,547.657,-20.633,Undifferentiated,-1.0
25185,-1518.124,556.624,Meg,-1.0
25187,3010.517,404.115,Monocyte,-1.0
25192,784.054,-1640.86,Neutrophil,45416.0
25193,793.993,-585.988,Undifferentiated,-1.0
25194,2562.52,-61.316,Monocyte,-1.0
25195,1607.751,-2107.671,Neutrophil,51926.0
25196,1716.475,-2109.079,Neutrophil,50928.0
25199,2567.825,-563.342,Undifferentiated,-1.0
25202,731.329,-857.047,Undifferentiated,37699.0
25203,808.337,-1302.121,Neutrophil,46711.0
25212,805.585,-456.823,Undifferentiated,-1.0
25213,1842.373,-183.074,Monocyte,-1.0
25214,1577.777,-430.444,Monocyte,-1.0
25215,2619.979,125.352,Monocyte,-1.0
25216,996.245,-313.649,Undifferentiated,-1.0
25220,2507.242,-1939.064,Neutrophil,58342.0
25223,1364.174,-297.981,Undifferentiated,-1.0
25224,553.241,-676.313,Undifferentiated,38111.0
25226,2120.337,-336.7,Monocyte,-1.0
25228,1682.198,-2083.046,Neutrophil,51844.0
25229,2859.591,47.712,Monocyte,-1.0
25233,2378.035,-2059.315,Neutrophil,56731.0
25235,1714.015,-437.222,Monocyte,-1.0
25236,-1009.304,-1172.718,Baso,-1.0
25242,2832.198,43.703,Monocyte,-1.0
25246,317.0,81.231,Undifferentiated,21420.0
25248,937.02,-246.568,Undifferentiated,-1.0
25249,697.86,-1457.652,Neutrophil,44121.0
25257,384.83,-517.582,Undifferentiated,33042.0
25258,852.033,-593.965,Undifferentiated,-1.0
25259,2587.226,-329.679,Monocyte,-1.0
25261,606.066,-714.653,Undifferentiated,37447.0
25265,-993.961,-1969.989,Baso,-1.0
25267,596.552,-1113.38,Neutrophil,40697.0
25268,703.114,-1510.645,Neutrophil,45070.0
25269,920.875,-284.236,Undifferentiated,-1.0
25270,1161.042,-826.192,Undifferentiated,-1.0
25274,-1395.795,-683.788,Mast,-1.0
25275,2457.094,-269.686,Monocyte,-1.0
25277,-1017.629,-1257.183,Baso,-1.0
25278,242.566,-62.74,Undifferentiated,22806.0
25280,2451.748,-197.203,Monocyte,-1.0
25282,784.298,-1715.836,Neutrophil,45035.0
25286,2988.385,446.644,Monocyte,-1.0
25287,876.74,-1809.782,Neutrophil,46257.0
25291,2431.457,-299.772,Monocyte,-1.0
25292,-1136.346,339.605,Undifferentiated,-1.0
25293,1572.346,-2157.385,Neutrophil,50044.0
25296,-898.577,-792.141,Baso,-1.0
25298,648.817,-1373.428,Neutrophil,41825.0
25299,1519.791,-263.046,Monocyte,-1.0
25300,1200.236,-1973.911,Neutrophil,47973.0
25302,1058.227,-632.124,Undifferentiated,-1.0
25303,2174.758,-2113.434,Neutrophil,54653.0
25305,539.786,-1284.435,Neutrophil,43037.0
25306,322.493,-507.898,Undifferentiated,37273.0
25308,633.716,-1193.887,Neutrophil,41525.0
25309,632.178,-1431.611,Neutrophil,43413.0
25311,1374.76,-2127.063,Neutrophil,49548.0
25312,1913.218,-233.971,Monocyte,-1.0
25313,1704.917,-2196.85,Neutrophil,53225.0
25314,-961.117,-1521.487,Baso,-1.0
25319,3021.999,577.223,Monocyte,-1.0
25323,2357.315,-2041.585,Neutrophil,56648.0
25325,846.324,-1785.612,Neutrophil,45944.0
25326,-761.458,-589.409,Baso,-1.0
25327,-1722.173,-921.915,Mast,-1.0
25329,2622.025,-316.347,Monocyte,-1.0
25332,2652.98,-117.928,Monocyte,-1.0
25333,2722.747,365.295,Monocyte,-1.0
25335,831.468,-435.375,Undifferentiated,-1.0
25336,2975.489,580.762,Monocyte,-1.0
25337,1269.201,-2152.894,Neutrophil,50101.0
25345,-1009.351,-1178.306,Baso,-1.0
25347,249.618,-557.467,Undifferentiated,38924.0
25349,738.029,-340.297,Undifferentiated,-1.0
25350,637.139,-743.66,Undifferentiated,35925.0
25351,2362.391,-342.104,Monocyte,-1.0
25352,-1065.765,-1413.996,Baso,-1.0
25356,-1071.117,-1557.57,Baso,-1.0
25357,1718.05,-202.395,Monocyte,-1.0
25358,383.916,-197.107,Undifferentiated,33630.0
25360,1014.809,-1957.252,Neutrophil,46792.0
25367,732.83,-1480.683,Neutrophil,43560.0
25369,2648.835,-95.659,Monocyte,-1.0
25375,2602.165,180.789,Monocyte,-1.0
25378,860.053,-570.574,Undifferentiated,-1.0
25379,607.519,-1181.561,Neutrophil,42330.0
25381,2698.002,-89.825,Monocyte,-1.0
25389,277.046,186.99,Undifferentiated,16899.0
25390,509.65,-71.376,Undifferentiated,21482.0
25391,773.3,-539.252,Undifferentiated,33210.0
25392,772.934,-731.638,Undifferentiated,34991.0
25400,725.99,-1234.67,Neutrophil,39592.0
25401,1298.62,-9.107,Undifferentiated,-1.0
25402,604.166,-859.446,Neutrophil,40063.0
25403,1429.138,-2177.586,Neutrophil,50086.0
25410,684.139,-471.697,Undifferentiated,32580.0
25411,2353.722,-477.405,Monocyte,-1.0
25412,1304.536,-1126.869,Undifferentiated,-1.0
25413,369.344,-18.286,Undifferentiated,23297.0
25414,994.706,106.83,Undifferentiated,-1.0
25415,1159.733,-116.225,Undifferentiated,-1.0
25418,2361.8,-1990.134,Neutrophil,56367.0
25421,554.071,-262.11,Undifferentiated,28065.0
25422,965.284,-496.734,Undifferentiated,-1.0
25423,-1107.175,382.89,Undifferentiated,-1.0
25434,952.747,86.005,Undifferentiated,-1.0
25435,2970.202,198.641,Monocyte,-1.0
25445,859.635,-1230.185,Neutrophil,43296.0
25446,387.697,-199.344,Undifferentiated,27718.0
25447,246.828,-495.22,Undifferentiated,32516.0
25448,2307.664,-296.572,Monocyte,-1.0
25449,-933.964,-1934.861,Baso,-1.0
25452,-1074.616,-1959.827,Baso,-1.0
25457,-1604.28,619.953,Meg,-1.0
25458,-1701.282,641.233,Meg,-1.0
25459,2223.313,-416.198,Monocyte,-1.0
25465,-1380.426,183.127,Erythroid,-1.0
25468,301.701,201.242,Undifferentiated,15807.0
25470,418.482,-1021.285,Neutrophil,40315.0
25474,846.072,-505.034,Undifferentiated,-1.0
25477,-1219.61,246.373,Erythroid,-1.0
25478,509.001,-132.522,Undifferentiated,25549.0
25479,589.997,-807.828,Undifferentiated,39209.0
25480,567.581,-1234.804,Neutrophil,42518.0
25489,1050.524,-408.439,Undifferentiated,-1.0
25493,2399.099,-447.619,Monocyte,-1.0
25501,-1696.109,642.522,Meg,-1.0
25503,763.634,-1388.979,Neutrophil,44759.0
25506,470.666,251.936,Undifferentiated,-1.0
25511,2101.296,-321.832,Monocyte,-1.0
25515,2534.203,-359.446,Monocyte,-1.0
25517,1891.903,-2142.609,Neutrophil,53280.0
25520,-1037.483,-1153.984,Baso,-1.0
25523,229.76,272.046,Undifferentiated,15867.0
25525,612.034,464.722,Undifferentiated,-1.0
25529,1557.457,-2033.454,Neutrophil,51857.0
25530,569.102,-1017.034,Neutrophil,38902.0
25534,-1899.008,1042.221,Meg,-1.0
25535,-607.882,-1126.667,Eos,-1.0
25536,-1087.276,-1869.402,Baso,-1.0
25537,487.189,-431.781,Undifferentiated,32235.0
25539,-1060.957,209.574,Undifferentiated,-1.0
25540,891.222,108.825,Undifferentiated,-1.0
25545,-1906.255,960.724,Meg,-1.0
25546,1535.334,-2199.585,Neutrophil,51135.0
25547,591.865,-323.848,Undifferentiated,27324.0
25556,443.831,-82.383,Undifferentiated,21682.0
25557,-979.101,-2052.702,Baso,-1.0
25565,954.077,-1876.695,Neutrophil,46843.0
25567,601.472,-842.468,Undifferentiated,38930.0
25570,-125.908,713.481,Undifferentiated,5774.0
25578,-958.505,-1054.874,Baso,-1.0
25579,1323.609,-2123.546,Neutrophil,50177.0
25589,-1833.339,-965.015,Mast,-1.0
25591,-1175.89,445.625,Undifferentiated,-1.0
25592,1093.451,-1985.104,Neutrophil,48202.0
25593,1238.51,-2131.487,Neutrophil,49686.0
25599,567.433,-849.263,Undifferentiated,38283.0
25600,746.515,-555.999,Undifferentiated,32060.0
25601,-1737.015,-884.449,Mast,-1.0
25603,997.976,-1879.166,Neutrophil,47821.0
25605,1963.805,-220.262,Monocyte,-1.0
25611,460.958,-15.371,Undifferentiated,20758.0
25612,623.523,-829.56,Undifferentiated,39170.0
25613,2496.169,-478.423,Monocyte,-1.0
25614,-1091.773,-1567.012,Baso,-1.0
25625,-1060.657,-1232.837,Baso,-1.0
25634,-999.309,-1865.043,Baso,-1.0
25646,-23.204,487.29,Undifferentiated,13817.0
25648,144.236,422.807,Undifferentiated,12455.0
25652,-1647.423,-826.346,Mast,-1.0
25656,1707.21,-128.576,Monocyte,-1.0
25659,437.329,-771.371,Undifferentiated,38242.0
25661,2501.98,-202.907,Monocyte,-1.0
25667,-616.759,106.185,Undifferentiated,-1.0
25671,391.777,-1000.783,Neutrophil,40792.0
25678,627.446,-1327.26,Neutrophil,43823.0
25681,2403.082,-408.22,Monocyte,-1.0
25682,2449.276,-161.336,Monocyte,-1.0
25691,244.031,126.063,Undifferentiated,24586.0
25693,-1012.021,-1513.035,Baso,-1.0
25694,-1040.106,-2011.353,Baso,-1.0
25695,-572.76,-1185.532,Eos,-1.0
25697,-1317.325,522.262,Meg,-1.0
25698,205.201,414.033,Undifferentiated,16553.0
25701,2235.325,-422.111,Monocyte,-1.0
25705,2007.097,-2099.51,Neutrophil,53287.0
25707,685.988,-1353.988,Neutrophil,43232.0
25712,1350.983,-2174.26,Neutrophil,49889.0
25715,-1033.619,-2033.7,Baso,-1.0
25718,-346.159,576.478,Undifferentiated,-1.0
25720,963.083,-536.056,Undifferentiated,-1.0
25721,685.103,-1110.841,Neutrophil,41429.0
25722,-1175.965,-319.123,Undifferentiated,-1.0
25729,1620.281,-404.485,Monocyte,-1.0
25731,1206.774,-324.076,Undifferentiated,-1.0
25734,897.128,-1664.996,Neutrophil,46447.0
25742,515.381,-154.639,Undifferentiated,26720.0
25744,1698.511,-317.1,Monocyte,-1.0
25751,706.698,-285.892,Undifferentiated,-1.0
25753,995.43,-1883.888,Neutrophil,46445.0
25754,656.478,-892.204,Neutrophil,39143.0
25761,-1784.406,681.567,Meg,-1.0
25762,470.664,-1122.562,Neutrophil,40048.0
25766,170.153,362.799,Undifferentiated,18155.0
25770,-1711.734,-849.677,Mast,-1.0
25771,709.182,-327.861,Undifferentiated,-1.0
25774,-1098.447,-1758.25,Baso,-1.0
25776,1787.266,-2180.972,Neutrophil,52442.0
25777,788.578,1496.989,Lymphoid,-1.0
25778,-1013.117,-2016.116,Baso,-1.0
25781,-61.356,242.448,Undifferentiated,25379.0
25782,589.914,285.295,Undifferentiated,-1.0
25784,2462.345,-71.121,Monocyte,-1.0
25786,2423.085,-320.073,Monocyte,-1.0
25788,-1101.399,445.45,Undifferentiated,-1.0
25790,591.796,-801.622,Undifferentiated,38188.0
25791,964.194,-267.931,Undifferentiated,-1.0
25794,-1077.033,-1278.526,Baso,-1.0
25798,710.178,-1177.972,Neutrophil,41918.0
25804,868.01,-1600.403,Neutrophil,45201.0
25805,909.386,-1864.386,Neutrophil,45346.0
25818,1049.808,-1762.667,Neutrophil,46250.0
25821,585.611,-674.656,Undifferentiated,32825.0
25822,699.08,-736.584,Undifferentiated,33575.0
25823,574.804,485.829,Undifferentiated,-1.0
25826,-1041.692,-1721.141,Baso,-1.0
25833,1117.618,-404.324,Undifferentiated,-1.0
25837,2055.185,-246.142,Monocyte,-1.0
25839,1782.143,-2200.966,Neutrophil,52628.0
25842,1021.022,-304.833,Undifferentiated,-1.0
25843,984.677,-1574.644,Undifferentiated,46963.0
25844,1890.156,-471.291,Monocyte,-1.0
25845,2219.615,-237.796,Monocyte,-1.0
25855,1517.973,-1834.687,Undifferentiated,49802.0
25861,2669.645,-1751.183,Neutrophil,59637.0
25863,182.982,-181.248,Undifferentiated,27611.0
25864,839.246,71.131,Undifferentiated,-1.0
25866,725.513,-390.063,Undifferentiated,-1.0
25877,1166.835,-924.466,Undifferentiated,-1.0
25883,2567.11,-230.428,Monocyte,-1.0
25885,584.122,-19.605,Undifferentiated,-1.0
25887,3010.052,320.871,Monocyte,-1.0
25888,2430.862,-429.655,Monocyte,-1.0
25890,2514.161,-437.142,Monocyte,-1.0
25891,2160.669,-2091.564,Neutrophil,54460.0
25894,747.841,-1250.127,Neutrophil,42207.0
25896,635.049,-998.247,Neutrophil,39972.0
25898,1724.429,-292.931,Monocyte,-1.0
25905,664.879,-827.129,Undifferentiated,36530.0
25906,474.194,-1008.255,Neutrophil,39390.0
25907,985.803,-468.746,Undifferentiated,-1.0
25913,1674.437,-136.547,Monocyte,-1.0
25919,421.981,-957.369,Neutrophil,40427.0
25924,687.924,-254.173,Undifferentiated,-1.0
25935,-1834.675,-946.931,Mast,-1.0
25937,1945.848,-429.824,Monocyte,-1.0
25938,974.029,-1971.207,Neutrophil,47319.0
25939,2202.502,-313.148,Monocyte,-1.0
25949,362.616,-482.109,Undifferentiated,35163.0
25951,842.905,-1626.209,Neutrophil,45990.0
25953,-144.149,755.162,Undifferentiated,8338.0
25958,420.232,-503.857,Undifferentiated,32926.0
25960,606.554,-164.777,Undifferentiated,-1.0
25961,25.075,425.403,Undifferentiated,13979.0
25969,488.297,-155.541,Undifferentiated,27011.0
25970,811.444,-416.536,Undifferentiated,-1.0
25972,-1040.569,-1224.377,Baso,-1.0
25973,-1152.89,281.809,Undifferentiated,-1.0
25974,-1248.353,322.254,Undifferentiated,-1.0
25976,995.37,-1931.97,Neutrophil,48057.0
25978,2991.419,252.237,Monocyte,-1.0
25984,1985.93,-268.287,Monocyte,-1.0
25985,532.702,-1118.206,Neutrophil,41847.0
25991,967.418,-1507.978,Neutrophil,45246.0
25992,2371.507,-38.049,Monocyte,-1.0
25993,-1635.435,-824.64,Mast,-1.0
25997,1218.852,1401.72,pDC,-1.0
26001,671.664,-748.241,Undifferentiated,36479.0
26003,854.365,93.718,Undifferentiated,-1.0
