,Estimate,Label MI,Dimension,Measure,Time
0,0.872686405793624,1.0,784,MINE,12.75307846069336
1,0.7790002325973159,1.0,784,InfoNCE,8.23656177520752
2,0.2417109107743786,1.0,784,KSG,42.04925298690796
3,0.9581076106071404,1.0,784,LMI-Cross,8.877854347229004
4,0.9632922683155369,1.0,784,LMI-InfoNCE,1.9137187004089355
5,1.031779406092292,1.0,784,LMI-MINE,4.654015064239502
6,0.8305810972614386,1.0,784,MINE,9.949820518493652
7,0.8487082406450295,1.0,784,InfoNCE,10.19692611694336
8,0.23913611774299334,1.0,784,KSG,40.0302255153656
9,0.9790752920961695,1.0,784,LMI-Cross,9.093064546585083
10,0.9665082759521534,1.0,784,LMI-InfoNCE,1.8738808631896973
11,0.970266929713402,1.0,784,LMI-MINE,4.739588737487793
12,0.37983133765847626,1.0,784,MINE,14.965651512145996
13,0.5327637282591879,1.0,784,InfoNCE,7.3411219120025635
14,0.2457105587439198,1.0,784,KSG,42.78242206573486
15,0.9809363708652223,1.0,784,LMI-Cross,8.545827627182007
16,0.9885339282909023,1.0,784,LMI-InfoNCE,1.9368908405303955
17,0.9979361198392751,1.0,784,LMI-MINE,3.4177021980285645
18,0.9341535211599444,1.0,784,MINE,12.454584121704102
19,0.5976383358870532,1.0,784,InfoNCE,8.513944149017334
20,0.2417320832440967,1.0,784,KSG,37.7154541015625
21,0.9738744252203616,1.0,784,LMI-Cross,9.7562837600708
22,0.9951855006683556,1.0,784,LMI-InfoNCE,1.4822187423706055
23,0.9792431945252807,1.0,784,LMI-MINE,3.2405617237091064
24,0.8514725177923474,1.0,784,MINE,7.622018814086914
25,0.765159068855877,1.0,784,InfoNCE,11.729835748672485
26,0.2425210223796952,1.0,784,KSG,37.59557819366455
27,0.9666603284411985,1.0,784,LMI-Cross,10.390779733657837
28,0.9472533459892686,1.0,784,LMI-InfoNCE,2.615354299545288
29,0.9768554984911839,1.0,784,LMI-MINE,4.407546281814575
30,0.8598556401260041,1.0,784,MINE,7.449737310409546
31,0.6720978806128044,1.0,784,InfoNCE,11.375665426254272
32,0.25163830950131066,1.0,784,KSG,43.67750525474548
33,0.9566629224792308,1.0,784,LMI-Cross,9.43736982345581
34,0.9840126486512137,1.0,784,LMI-InfoNCE,1.6906087398529053
35,0.9860069686272717,1.0,784,LMI-MINE,4.051448822021484
36,-1.7198265086280863e-07,0.9949079524628197,784,MINE,14.392098188400269
37,-0.21649244883670696,0.9949079524628197,784,InfoNCE,8.737687587738037
38,0.23918040662492923,0.9949079524628197,784,KSG,40.22547888755798
39,0.9535484031051533,0.9949079524628197,784,LMI-Cross,8.996675491333008
40,0.9656218224163385,0.9949079524628197,784,LMI-InfoNCE,1.7245442867279053
41,0.9491064170761827,0.9949079524628197,784,LMI-MINE,1.8929164409637451
42,0.19697575012763865,0.9906161358492216,784,MINE,7.560344696044922
43,0.6983389934814518,0.9906161358492216,784,InfoNCE,8.13772702217102
44,0.24055727373948713,0.9906161358492216,784,KSG,35.83435773849487
45,0.979559964756991,0.9906161358492216,784,LMI-Cross,8.633122682571411
46,0.9865884595350859,0.9906161358492216,784,LMI-InfoNCE,1.8560314178466797
47,0.9395692042308097,0.9906161358492216,784,LMI-MINE,2.4138169288635254
48,0.34454651709420814,0.9866265052525145,784,MINE,8.956907510757446
49,0.8234247271763863,0.9866265052525145,784,InfoNCE,9.399886846542358
50,0.2399201885027815,0.9866265052525145,784,KSG,40.6401047706604
51,1.0042420998615467,0.9866265052525145,784,LMI-Cross,8.447721242904663
52,0.9734313374212253,0.9866265052525145,784,LMI-InfoNCE,1.8058300018310547
53,0.9235021178500304,0.9866265052525145,784,LMI-MINE,2.642909049987793
54,0.8900256966536123,0.9828331957626193,784,MINE,10.908987760543823
55,0.9036037269392311,0.9828331957626193,784,InfoNCE,8.410372018814087
56,0.23889761343259752,0.9828331957626193,784,KSG,40.06042718887329
57,0.992983589317703,0.9828331957626193,784,LMI-Cross,7.547881603240967
58,0.9793069538090589,0.9828331957626193,784,LMI-InfoNCE,1.5829687118530273
59,0.9690602917735367,0.9828331957626193,784,LMI-MINE,2.8928308486938477
60,0.3693045375731401,0.9866265052525145,784,MINE,9.146249055862427
61,0.6347769574449714,0.9866265052525145,784,InfoNCE,8.675474166870117
62,0.24189065124082682,0.9866265052525145,784,KSG,41.6643340587616
63,0.9761362818868667,0.9866265052525145,784,LMI-Cross,10.045186996459961
64,0.9365312491880308,0.9866265052525145,784,LMI-InfoNCE,2.132448196411133
65,0.9927030410849061,0.9866265052525145,784,LMI-MINE,3.383838653564453
66,0.8819309032341272,0.9906161358492216,784,MINE,14.672051668167114
67,0.8046490372163917,0.9906161358492216,784,InfoNCE,7.47589635848999
68,0.23961846295927652,0.9906161358492216,784,KSG,42.67223048210144
69,0.9654023184631179,0.9906161358492216,784,LMI-Cross,8.927135467529297
70,0.9539305859690108,0.9906161358492216,784,LMI-InfoNCE,1.5317368507385254
71,0.9665297731137878,0.9906161358492216,784,LMI-MINE,2.4345040321350098
72,0.9557203175607915,0.9906161358492216,784,MINE,11.576552152633667
73,0.8054683625651021,0.9906161358492216,784,InfoNCE,8.181820631027222
74,0.24435551008047227,0.9906161358492216,784,KSG,42.463622093200684
75,0.9697067051316848,0.9906161358492216,784,LMI-Cross,10.353004217147827
76,0.9791973019125301,0.9906161358492216,784,LMI-InfoNCE,1.959404468536377
77,0.9728751568428723,0.9906161358492216,784,LMI-MINE,4.279103755950928
78,0.37094413417514066,0.9866265052525145,784,MINE,7.305142402648926
