,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
1297,LMI,5000,1,0.6445677661760727,50,5
1298,MINE,5000,1,0.6463666963039653,50,5
1299,KSG,5000,1,0.18346808741333137,50,5
1300,InfoNCE,6000,1,0.9491089604963233,1,1
1301,LMI,6000,1,1.0644057941121705,1,1
1302,MINE,6000,1,0.9924155678447855,1,1
1303,KSG,6000,1,1.0228849663905828,1,1
1304,InfoNCE,6000,1,0.9200328856108535,13,1
1305,LMI,6000,1,1.040889441737148,13,1
1306,MINE,6000,1,0.8953096056273958,13,1
1307,KSG,6000,1,0.4950788075800057,13,1
1308,InfoNCE,6000,1,0.8383851540096403,25,2
1309,LMI,6000,1,0.918697536001135,25,2
1310,MINE,6000,1,0.7641591617237606,25,2
1311,KSG,6000,1,0.3073513398511662,25,2
1312,InfoNCE,6000,1,0.6530594011622914,37,3
1313,LMI,6000,1,0.7948862581629943,37,3
1314,MINE,6000,1,0.7470324414202387,37,3
1315,KSG,6000,1,0.1920636096858196,37,3
1316,InfoNCE,6000,1,0.5915962413969409,50,5
1317,LMI,6000,1,0.6421657952807629,50,5
1318,MINE,6000,1,0.6281453064277016,50,5
1319,KSG,6000,1,0.19009169552691801,50,5
1320,InfoNCE,7000,1,0.9729567627955639,1,1
1321,LMI,7000,1,0.9431007853034752,1,1
1322,MINE,7000,1,0.9684175387000163,1,1
1323,KSG,7000,1,0.999752960751854,1,1
1324,InfoNCE,7000,1,0.9655463743351872,13,1
1325,LMI,7000,1,1.0538179548719258,13,1
1326,MINE,7000,1,0.9098472131135037,13,1
1327,KSG,7000,1,0.5087153485676973,13,1
1328,InfoNCE,7000,1,0.875899385677043,25,2
1329,LMI,7000,1,0.9253173047233068,25,2
1330,MINE,7000,1,0.9033831591894995,25,2
1331,KSG,7000,1,0.36047151120743004,25,2
1332,InfoNCE,7000,1,0.7528148421075481,37,3
1333,LMI,7000,1,0.7990588712682025,37,3
1334,MINE,7000,1,0.765059404909702,37,3
1335,KSG,7000,1,0.22308112604624628,37,3
1336,InfoNCE,7000,1,0.7200734729668901,50,5
1337,LMI,7000,1,0.6799563432623771,50,5
1338,MINE,7000,1,0.6217231302791826,50,5
1339,KSG,7000,1,0.17896794691270101,50,5
1340,InfoNCE,8000,1,1.0154419810035051,1,1
1341,LMI,8000,1,1.0151689192769258,1,1
1342,MINE,8000,1,0.9946771397036315,1,1
1343,KSG,8000,1,1.0220499051988643,1,1
1344,InfoNCE,8000,1,0.9060011650922587,13,1
1345,LMI,8000,1,0.9860257428172797,13,1
1346,MINE,8000,1,0.8681774506446283,13,1
1347,KSG,8000,1,0.5015445735023772,13,1
1348,InfoNCE,8000,1,0.8658507833524308,25,2
1349,LMI,8000,1,0.8961737637418558,25,2
