,SPRING1,SPRING2,Neutrophil PT,pMI,smooth pMI
60925,-164.606,504.147,13899.0,-0.8585203108647507,0.4509937468666685
60624,7.879,558.984,13945.0,0.6656612727250364,0.44975553137612123
96051,230.361,407.218,13965.0,0.691464293343241,0.4576604156126073
92487,201.653,374.646,13987.0,0.5134909711811358,0.45750529243513377
21055,134.995,447.912,14057.0,0.4509335718970653,0.4526829070119277
94132,24.706,363.551,14104.0,0.5312616020379243,0.45115921380015445
42099,329.793,356.876,14115.0,-0.22411688850681566,0.4491217005192937
87988,213.997,314.738,14117.0,0.4038708563531359,0.45254968080213553
96768,52.866,406.428,14242.0,1.014795795228264,0.46001469530712463
96286,441.577,297.905,14254.0,0.3393994413740405,0.460309897787084
106813,75.082,443.547,14283.0,0.3601371876451574,0.4622820603931874
82343,214.544,387.734,14292.0,0.44575950757383886,0.45610159949871076
48933,151.085,486.876,14315.0,-0.11203024808856013,0.44782764544798165
107440,400.217,375.671,14333.0,0.33107708049586104,0.449616325451749
59009,390.01,307.736,14351.0,0.00887031839193255,0.4485369256868516
47977,58.782,244.482,14358.0,-0.10432289097800314,0.4436737257542635
43839,184.16,236.462,14443.0,0.5264963566818194,0.44377293775851256
96650,51.877,517.524,14494.0,0.45580076810482284,0.44212672292025856
107796,235.8,410.887,14523.0,0.4377433723865737,0.44338253212016054
98073,108.726,239.011,14525.0,0.7357518598041427,0.4497330657841202
19146,63.259,427.614,14529.0,-0.16098972557525573,0.44088424160029993
84411,-149.453,611.704,14586.0,0.37390312612077875,0.4325091042980983
50011,291.376,405.07,14589.0,0.6024062925334557,0.43241668017023605
85429,-9.942,403.286,14593.0,0.39276230649698773,0.43141636156770535
59003,305.814,213.641,14601.0,0.5408509968653668,0.4367450778724972
110798,-26.082,648.469,14614.0,0.7040185017356594,0.4391596573680684
57470,5.41,515.714,14666.0,1.1899389336318031,0.448439748091915
109678,137.533,396.486,14674.0,0.56532856242577,0.4436401596925308
93502,35.604,575.373,14735.0,0.6212874147217607,0.4474380803749544
92276,336.83,238.223,14752.0,0.5795672709690953,0.45124224022480575
42626,-137.489,639.846,14790.0,1.0293087883940426,0.4587467873341691
96429,262.233,306.683,14806.0,0.22705963162683468,0.45474288837973664
51007,297.348,441.811,14819.0,0.5055581440625814,0.4556201544385328
41971,32.666,411.673,14834.0,0.9217955533602755,0.4655195400611959
29296,72.953,379.478,14841.0,0.0033115460353973724,0.4604214685742169
105693,142.714,474.283,14867.0,0.17447311031365859,0.46003569511726355
97396,151.971,381.245,14894.0,0.4314671771074902,0.45580327155505673
49427,12.665,502.999,14899.0,0.16852863016283284,0.4519531991261164
99502,-35.455,441.061,14909.0,0.5285649737049887,0.44788634120493975
108774,108.449,235.488,14919.0,0.7746468831362977,0.4516526618096682
98620,2.272,465.68,14927.0,0.5683438092810429,0.45524819264836075
84863,126.44,-52.055,14945.0,0.515565145982784,0.4508753904580746
28747,293.131,329.662,15013.0,0.3039056709351298,0.45654907202066786
86084,-182.174,813.003,15018.0,0.47157720985277,0.45073231387147467
46155,86.52,408.094,15028.0,-0.7762886220953461,0.4446689440633538
100655,206.203,513.289,15050.0,0.534849921706483,0.4433365446877633
13614,295.167,374.561,15083.0,0.6885487236313323,0.4458082199304218
90415,-47.204,701.532,15085.0,0.6616273666856121,0.449728116352631
93903,7.693,318.128,15153.0,0.6770868638093839,0.4504016851448055
15461,153.509,305.597,15163.0,0.20109817818854592,0.4471186369242675
15852,212.037,294.975,15188.0,0.21432561209653983,0.44006131897655903
44428,169.612,430.986,15207.0,0.3941234532068227,0.43356932534087506
82852,167.55,437.714,15230.0,0.5339584663742556,0.4308899373693294
109275,151.012,292.033,15242.0,0.684722120312482,0.4353145307107936
95713,-79.034,648.602,15261.0,0.34190201208105925,0.4314927235400524
102128,-116.489,747.557,15267.0,0.6086323496602736,0.42769914266642345
97348,369.442,421.917,15274.0,0.1525544446068404,0.4287893264019631
17524,193.439,441.7,15292.0,0.4440115353886426,0.42434087476055604
84505,115.686,425.686,15331.0,0.4191751206762647,0.4196972009486631
89458,-19.724,573.721,15336.0,0.5930321208284324,0.421062002892507
42161,163.765,188.828,15340.0,-0.09622210763886963,0.4136296721536427
88768,-70.735,264.688,15372.0,-0.32027142645051876,0.4094521567427635
43070,189.001,521.401,15466.0,0.17613559727633704,0.40814549736726763
99291,145.4,515.932,15498.0,0.4846953695222892,0.40696137980947855
24829,100.73,313.361,15612.0,0.04014623637865768,0.41009388663857554
82247,201.689,285.371,15632.0,0.5444526512067493,0.41062636680283016
45944,-51.408,415.141,15645.0,0.7401909899712149,0.4095328824277361
23317,285.784,217.105,15662.0,0.3721473264675068,0.4067822347041561
19000,2.742,402.758,15719.0,0.39257234193801704,0.40982634837768755
94020,180.05,436.164,15725.0,0.5871484512584737,0.4130298543864866
103531,-128.864,459.226,15735.0,0.01724186607055319,0.41004923371603247
27137,-28.829,563.17,15740.0,0.4860415714865135,0.4098443066621462
12221,58.97,270.694,15744.0,0.003622767527064942,0.4053904720605969
106382,-24.524,241.511,15753.0,-0.1784704620412822,0.3974043279559668
84643,-72.844,583.67,15761.0,0.6765490827699694,0.3984395988521489
90948,243.775,409.824,15768.0,0.518375289682053,0.3993720083488255
57647,170.131,466.846,15787.0,0.37084731252183023,0.401154381071012
101186,4.329,448.993,15794.0,0.5749728868592024,0.4032445261204283
25468,301.701,201.242,15807.0,0.42220914904045853,0.40425732109048107
45599,339.303,366.892,15812.0,0.10940441580357252,0.40360807504567203
109376,72.116,542.946,15822.0,0.46891806262480573,0.4018378773739251
92466,-35.295,345.541,15837.0,-0.016666369525724083,0.39419523758720276
88107,26.744,515.934,15847.0,1.0409060108042492,0.4038239736916329
24386,274.946,236.193,15852.0,0.19606971608872206,0.4008597574350378
14589,-52.661,479.93,15878.0,0.001020261940793943,0.396183717854347
106287,238.378,377.842,15883.0,0.44307354046683683,0.4016896963215615
83107,77.974,460.629,15897.0,0.5982280818997789,0.40525687248097886
107843,69.56,317.213,15914.0,0.3049343923791127,0.40001824645917294
100491,46.077,101.329,15919.0,0.5693233477515874,0.39615699544229543
91978,8.5,328.505,15988.0,0.745041174547754,0.39689412080704434
88713,60.903,331.543,16015.0,0.2025831795958323,0.39286975293993415
84523,20.994,165.025,16023.0,0.0906399806105581,0.38826154872614715
52758,198.951,442.961,16059.0,-0.16648082256330352,0.38072532729828557
91650,350.703,219.166,16103.0,0.402982570728757,0.3788238149757903
89323,109.774,302.148,16170.0,0.4890770453086817,0.3788611529771186
95308,137.213,280.785,16201.0,-0.018296461867182166,0.37026644738432973
93785,335.313,352.216,16217.0,0.02828997738731126,0.3739815979640855
85061,-1.848,385.83,16253.0,0.6003578268101248,0.3767366468569374
19533,246.353,293.083,16263.0,0.19153945989204318,0.3780786663703594
82319,9.538,332.968,16304.0,0.6195099024437934,0.37732903724799355
51066,219.227,360.035,16336.0,0.35707401555202056,0.38948498051216135
103478,109.654,438.522,16345.0,0.3914798269056029,0.38674316605396697
19856,366.343,129.377,16351.0,0.21310331774371766,0.38195955629797174
110827,165.27,663.757,16420.0,0.3622688557623718,0.38044733514378415
91428,282.62,277.118,16455.0,0.9042328450033026,0.3849803278748465
84849,431.405,291.166,16477.0,0.24510361043166623,0.3821187479587839
27923,166.881,375.141,16479.0,0.2055778413088205,0.38641569525694025
96375,-15.875,474.629,16483.0,0.5429138501725037,0.3878061251951339
14040,327.389,197.075,16510.0,0.3496579074283102,0.3811547463171344
103877,104.774,571.254,16529.0,0.6323039644372761,0.38408379154776673
110859,428.046,127.753,16532.0,0.6777262263116108,0.3872596819344313
107154,265.128,445.465,16550.0,0.2273383027672411,0.3850754698863653
100297,213.377,318.929,16575.0,0.8205016365664081,0.39440078873291495
91546,185.187,443.889,16609.0,0.8667436482410805,0.3997574544103672
94908,165.405,641.101,16611.0,0.3095007718470929,0.4027637589449188
105722,320.757,303.407,16635.0,0.8438000419966654,0.4122449882746655
92512,22.703,256.71,16669.0,0.7834914347901201,0.4148149390557485
109223,179.794,206.48,16736.0,0.033945081283954494,0.4105963821875398
91397,57.263,469.601,16743.0,0.08760140983648275,0.40709496256203886
87888,26.607,179.145,16755.0,0.07994605426858131,0.4005369045066833
50102,180.703,70.587,16796.0,-0.09420640277663976,0.4012047377346694
68705,227.132,170.895,16830.0,-0.24595796692736638,0.39500612680418795
85560,148.401,237.31,16837.0,0.43227692676384183,0.39330483314649184
28753,125.315,422.929,16862.0,0.2523442560155055,0.391900652641677
47941,76.876,331.953,16932.0,0.7418070895820954,0.3939102135688443
91314,105.471,179.145,16941.0,0.3218526977037174,0.3900885555285249
91481,34.021,258.194,16972.0,0.9657316199428394,0.3878464823916353
105879,80.381,55.957,16980.0,0.17386224208456985,0.3839318191882233
26746,141.376,329.332,16990.0,-0.3598726385832819,0.3741202186551728
42741,266.383,352.675,17005.0,0.6214365914637024,0.37453891186011895
95657,140.278,363.95,17012.0,0.4346905077254761,0.36859272905343315
103793,360.939,261.189,17029.0,0.6036453874510861,0.37235858661167576
109756,26.095,332.697,17030.0,0.43486648286504154,0.37165166999970034
105588,121.318,317.446,17091.0,0.3549085578099545,0.36598280004419714
105967,275.042,237.717,17123.0,0.48036959172442184,0.3707533805010874
82779,147.172,387.974,17193.0,0.18855384208848586,0.37089418781883565
108683,258.411,118.828,17231.0,0.6399051014478826,0.3729785670622396
108311,309.112,220.393,17239.0,0.26439556933846853,0.37393723645399596
95046,-117.01,372.829,17249.0,0.25806721314171316,0.37123225884836314
88324,-96.201,717.762,17278.0,0.21101785436099946,0.3655959685606102
88294,215.031,379.294,17298.0,0.7381995460669108,0.3672945259284689
105406,68.082,102.464,17323.0,0.7811036368016888,0.36994991083665796
104593,240.413,211.324,17395.0,0.3575573504507762,0.3704864276318144
50419,59.176,534.727,17441.0,0.20572905173699896,0.36782794605065666
89041,283.428,383.274,17463.0,-0.01335436109808381,0.37545728866062933
95048,55.956,208.989,17480.0,0.663860852267894,0.37674739796624335
93564,203.67,571.942,17507.0,0.7096790464506553,0.3769587011944367
24165,377.075,168.73,17543.0,0.22726544000205648,0.3726150819276011
41821,-270.929,822.893,17573.0,0.18281326536262707,0.3676723459431335
82944,10.867,314.757,17588.0,-0.09977892453629156,0.3646635749158851
44775,36.128,391.32,17592.0,0.3786108587224446,0.3663064273821442
102252,404.599,10.964,17602.0,0.3917710058470903,0.36628290290854687
15790,268.702,216.147,17624.0,0.2173066330392462,0.3631163845751967
93501,209.085,177.771,17636.0,0.336854303260465,0.35963770640467657
27943,291.892,288.631,17658.0,0.2770892639406804,0.3589895789232728
110572,45.684,323.24,17660.0,0.3841002204894737,0.35674425763156475
87423,205.466,138.75,17662.0,0.031562167525819126,0.35553433486075453
91927,-63.514,497.636,17664.0,0.25586646570059235,0.3536528841638741
83824,374.605,344.895,17705.0,0.49327993058160546,0.3543939322629275
21719,264.198,278.047,17712.0,-0.1319907508201445,0.34714370354644175
21414,289.44,256.986,17751.0,0.6378856638089531,0.3544847812609199
111482,57.62,392.159,17779.0,0.7617244324519479,0.36530473984994466
104354,97.012,213.784,17803.0,0.4163307857126083,0.3677066917343073
93126,28.731,295.204,17812.0,0.806434054567369,0.3709240785847582
51157,16.188,577.995,17828.0,0.10383566830041242,0.37156097290397566
104247,83.136,665.628,17830.0,0.811615002174529,0.3742325964136535
108906,-43.166,629.764,17877.0,0.7772809631432516,0.37460349614537386
49861,383.717,283.446,17905.0,0.46614031101543024,0.3755434259908531
94334,-44.327,260.588,17954.0,0.3885123113643254,0.37550282568511617
101141,98.655,340.649,17972.0,0.525533756713919,0.3748866787396706
106972,-26.181,483.195,17985.0,1.1434672947607158,0.38614893302657227
106992,336.111,186.954,17999.0,0.4639623411748285,0.3859281407234554
27774,180.232,283.021,18000.0,0.4315455012200496,0.39020736806038525
49892,424.008,10.41,18014.0,0.030987726926755898,0.3923019499500656
28615,66.167,423.003,18041.0,0.17188694592910286,0.3872553285816569
27540,303.383,232.035,18050.0,0.3740837762694052,0.38581241344753053
56867,127.518,170.001,18053.0,0.10706055640274922,0.38317454588633965
82733,275.823,180.92,18085.0,0.37930439292392126,0.3812178609469869
94928,430.474,312.796,18094.0,-0.10400475628517422,0.3759557218937305
19028,248.056,260.402,18131.0,0.43076339197543145,0.3791693116554491
91710,124.324,82.836,18151.0,0.5218518088487867,0.37969864911768897
26971,357.125,287.01,18156.0,0.3003157361705545,0.3828684701746517
110836,406.154,183.376,18187.0,0.6584844621913031,0.37904425468852226
68906,298.775,304.234,18211.0,0.719906473270472,0.3842826222603397
100612,-187.858,662.181,18231.0,0.6662751096368106,0.3909351707372999
85803,225.831,273.323,18251.0,0.502822859311128,0.3915326639257429
52740,-89.583,393.347,18254.0,0.18584781908482828,0.38740886129759333
88815,261.929,116.126,18310.0,0.6201550928960435,0.39056106830276266
83016,132.525,256.737,18369.0,0.5652916931141106,0.3905207517563879
101346,213.621,424.009,18374.0,0.509447700662532,0.3881648170175356
58935,77.246,408.961,18399.0,1.1134661754938107,0.3972736469765154
82749,93.91,90.67,18514.0,0.02531049265325954,0.39662035209694246
56326,370.609,255.853,18549.0,0.40195799532758725,0.40230474027585134
15704,364.435,206.007,18557.0,0.49165255398877605,0.4031914401084516
94743,100.921,89.838,18595.0,0.05283145141488667,0.3988289841695136
68676,224.365,250.183,18625.0,1.1497872750586977,0.41050982153877236
107425,228.356,192.498,18661.0,0.4269836748417867,0.41449675851331713
103401,393.87,252.141,18663.0,0.2893573234363921,0.41138675347957987
105245,229.634,72.886,18733.0,0.5164343077376238,0.4146357019580356
87291,37.47,163.584,18742.0,0.27664897469118016,0.41120709268050953
82447,394.902,126.028,18776.0,0.7673844203465602,0.4153101967284549
51649,149.042,279.156,18823.0,-0.17821715184702916,0.40961322694092855
105609,54.376,190.973,18836.0,0.26555149630317393,0.41013770872652316
86048,132.329,215.085,18850.0,0.5110115010892878,0.41162513517979227
91204,396.218,20.686,18856.0,0.6550725555125607,0.4091335322848849
87910,176.489,204.399,18868.0,0.9166216591643932,0.41584871277221214
83519,65.604,286.552,18874.0,0.7585228130272749,0.4213781624893967
43665,-0.047,615.007,18882.0,0.3036381548202839,0.41898540553587454
92227,107.401,163.646,18923.0,0.5909191218518489,0.4213980176801098
86789,160.423,330.549,18926.0,0.45272361725949317,0.41960221420833205
109467,171.311,359.532,18942.0,0.34552285815453015,0.41628018052676125
103166,-147.56,490.965,19008.0,0.42007756440830624,0.41820757314317186
13117,260.918,170.763,19029.0,0.4069542493169708,0.41407209927067756
85750,375.813,197.207,19031.0,0.3973128251187648,0.4093777910394544
85794,404.794,87.205,19055.0,0.7404590732219525,0.41368737405320294
93266,166.173,316.826,19064.0,0.7611836772157294,0.4128612104053936
83122,137.472,320.521,19075.0,0.38113322913058745,0.4088376283487982
84894,289.746,120.194,19076.0,0.8709129916440299,0.41720730745239903
82456,322.059,305.388,19165.0,0.42774698408340867,0.4206087631948683
10820,43.068,136.246,19201.0,-0.4182544671482084,0.41562675798070037
84993,164.942,379.468,19218.0,0.0699164262497175,0.417267986270964
48383,374.189,216.099,19234.0,0.3026342266244222,0.42275390820648184
108681,168.837,333.511,19249.0,0.6238793714965961,0.4246699326538094
107357,522.322,-52.108,19283.0,0.30360127925123315,0.4251825028861667
107183,215.324,459.244,19326.0,0.20967106388927476,0.41986114262923846
83957,103.968,91.14,19350.0,0.4052832720737821,0.4206954483729391
23997,241.333,175.318,19388.0,0.504743778963413,0.41608556996314483
18345,431.577,16.673,19404.0,-0.570013266540664,0.4086468148768925
97765,-15.323,93.351,19406.0,0.8449791916118434,0.4206953331788438
94085,55.503,362.406,19408.0,0.3211372274763871,0.41769233953897056
17666,289.828,96.615,19415.0,-0.12909416616558259,0.41205449280006007
82949,-196.982,658.096,19419.0,0.22502177613306137,0.4082682566868798
104323,159.528,424.011,19450.0,0.21186463157225136,0.4060382381739519
97354,332.105,135.702,19472.0,0.7353568443942122,0.4098427210397944
22614,228.316,159.759,19490.0,0.6380994837431262,0.41142001995998145
94111,303.919,-23.929,19538.0,0.49700774381389506,0.4145045589772356
90410,20.113,267.794,19581.0,0.5469067213762143,0.41357457517651885
104679,144.382,209.694,19598.0,0.48464439216019467,0.41577706340473614
101371,353.079,415.608,19612.0,0.544505902124153,0.4186414502945606
107872,76.454,603.274,19622.0,0.7080034312101817,0.42361130606305236
92125,451.615,59.264,19630.0,0.8113888443560697,0.424343199045944
93250,379.657,24.34,19659.0,0.5193089644378297,0.4217252523223054
94573,194.154,194.085,19662.0,0.06840064772721655,0.4188336852950698
96324,34.671,229.32,19679.0,0.5344735629786833,0.4221211304074866
97132,8.51,283.907,19684.0,0.6964549541383382,0.42921922355985087
88877,102.055,341.442,19693.0,0.25593491146663133,0.42513996415183825
108391,-144.762,482.032,19728.0,0.11162768706820589,0.4191594505580137
60527,422.83,-15.554,19755.0,-0.3018452776870709,0.41386834338112244
110470,522.322,-45.976,19756.0,0.3164938882506187,0.4152051496100024
85037,25.593,347.805,19857.0,0.6296503580050716,0.422499442435416
61743,403.247,379.621,19886.0,1.2364707000082453,0.431078040848274
86497,407.734,-70.867,19943.0,0.2787874373440932,0.429948205163244
92842,248.17,223.966,19976.0,0.6624883965449009,0.4344000227983006
103662,334.755,307.657,19988.0,0.2346901497264564,0.43337838126296047
94807,327.075,172.235,20011.0,0.3094788238076654,0.4337022768616303
99153,389.764,120.641,20037.0,0.23110611471047857,0.4321723358038404
13115,265.633,-100.807,20071.0,0.4146025335604784,0.43600273946418705
94755,5.563,334.211,20086.0,-0.4091420651520726,0.4293526541556604
46815,246.268,255.361,20112.0,0.09670024701286592,0.425386857319973
98159,126.183,104.811,20118.0,0.6152023471980499,0.4328587883001549
