,Exclusive dimensions,Distribution,Estimate,Estimator
277,4,Circle,-0.04977169396716048,LMI-MINE
278,4,Circle,-0.012056996441604212,LMI-InfoNCE
279,4,Circle,0.0,MINE
280,4,Circle,0.0,InfoNCE
281,4,Circle,0.040905439857065726,KSG
282,4,Gaussian mixture,-0.013403231484149195,LMI
283,4,Gaussian mixture,-0.025671362688637202,LMI-MINE
284,4,Gaussian mixture,0.04720835638362229,LMI-InfoNCE
285,4,Gaussian mixture,0.0,MINE
286,4,Gaussian mixture,0.0,InfoNCE
287,4,Gaussian mixture,0.17279601538626305,KSG
288,4,Circle,0.0788782816854066,LMI
289,4,Circle,-0.047005843509831016,LMI-MINE
290,4,Circle,-0.09881751497335685,LMI-InfoNCE
291,4,Circle,0.0,MINE
292,4,Circle,0.0,InfoNCE
293,4,Circle,0.05994415840108574,KSG
294,4,Gaussian mixture,-0.0082478658839437,LMI
295,4,Gaussian mixture,-0.02789532935246676,LMI-MINE
296,4,Gaussian mixture,0.01237811976711999,LMI-InfoNCE
297,4,Gaussian mixture,0.0,MINE
298,4,Gaussian mixture,0.0,InfoNCE
299,4,Gaussian mixture,0.1632846370370869,KSG
300,5,Circle,-0.07830907518667159,LMI
301,5,Circle,0.03360833137303359,LMI-MINE
302,5,Circle,0.00247328262385974,LMI-InfoNCE
303,5,Circle,0.0,MINE
304,5,Circle,0.0,InfoNCE
305,5,Circle,0.0,KSG
306,5,Gaussian mixture,-0.010020941490085578,LMI
307,5,Gaussian mixture,0.031543510347536954,LMI-MINE
308,5,Gaussian mixture,0.03458737770106394,LMI-InfoNCE
309,5,Gaussian mixture,0.0,MINE
310,5,Gaussian mixture,0.0,InfoNCE
311,5,Gaussian mixture,0.15406780280492377,KSG
312,5,Circle,-0.013113805981199997,LMI
313,5,Circle,-0.00551130192851771,LMI-MINE
314,5,Circle,0.011681996920491886,LMI-InfoNCE
315,5,Circle,0.0,MINE
316,5,Circle,0.0,InfoNCE
317,5,Circle,0.0,KSG
318,5,Gaussian mixture,0.011212184350423853,LMI
319,5,Gaussian mixture,0.055641999003854255,LMI-MINE
320,5,Gaussian mixture,0.3762578064761323,LMI-InfoNCE
321,5,Gaussian mixture,0.07986392754646417,MINE
322,5,Gaussian mixture,0.0,InfoNCE
323,5,Gaussian mixture,0.1398836081320894,KSG
324,5,Circle,0.024614586910568226,LMI
325,5,Circle,0.039223707921874,LMI-MINE
326,5,Circle,0.006586626083879544,LMI-InfoNCE
327,5,Circle,0.0,MINE
328,5,Circle,0.0,InfoNCE
329,5,Circle,0.01865816506812663,KSG
330,5,Gaussian mixture,0.024753051940294653,LMI
331,5,Gaussian mixture,-0.032530239849538935,LMI-MINE
332,5,Gaussian mixture,0.007839690074189857,LMI-InfoNCE
333,5,Gaussian mixture,0.2112469779853913,MINE
334,5,Gaussian mixture,0.0,InfoNCE
335,5,Gaussian mixture,0.16183020096443135,KSG
336,5,Circle,-0.03028701945092648,LMI
337,5,Circle,0.05731430229712144,LMI-MINE
338,5,Circle,0.0077834467085763255,LMI-InfoNCE
339,5,Circle,0.0,MINE
340,5,Circle,0.0,InfoNCE
341,5,Circle,0.0,KSG
342,5,Gaussian mixture,0.032657698066058824,LMI
343,5,Gaussian mixture,0.08934406146232476,LMI-MINE
344,5,Gaussian mixture,0.3688232360881527,LMI-InfoNCE
345,5,Gaussian mixture,0.0,MINE
346,5,Gaussian mixture,0.0,InfoNCE
347,5,Gaussian mixture,0.11702565922564838,KSG
348,5,Circle,-0.045133555512807684,LMI
349,5,Circle,0.028776618448464526,LMI-MINE
350,5,Circle,0.0068133285706567384,LMI-InfoNCE
351,5,Circle,0.0,MINE
352,5,Circle,0.0,InfoNCE
353,5,Circle,0.02111838856447685,KSG
354,5,Gaussian mixture,0.08196717225723972,LMI
355,5,Gaussian mixture,0.005042189225993908,LMI-MINE
356,5,Gaussian mixture,0.3495043723745414,LMI-InfoNCE
357,5,Gaussian mixture,0.0,MINE
358,5,Gaussian mixture,0.0,InfoNCE
359,5,Gaussian mixture,0.1198889058448633,KSG
360,6,Circle,0.07325640910418173,LMI
361,6,Circle,0.04964635985202735,LMI-MINE
362,6,Circle,0.0721108550551468,LMI-InfoNCE
363,6,Circle,0.0,MINE
364,6,Circle,0.0,InfoNCE
365,6,Circle,0.0,KSG
366,6,Gaussian mixture,-0.06062833391359273,LMI
367,6,Gaussian mixture,-0.017920609459442165,LMI-MINE
368,6,Gaussian mixture,-0.04275857054072877,LMI-InfoNCE
369,6,Gaussian mixture,0.0,MINE
370,6,Gaussian mixture,0.0,InfoNCE
371,6,Gaussian mixture,0.10004621610860068,KSG
372,6,Circle,0.01240331454318604,LMI
373,6,Circle,-0.0628587240797242,LMI-MINE
374,6,Circle,0.05335955741351578,LMI-InfoNCE
375,6,Circle,0.0,MINE
376,6,Circle,0.0,InfoNCE
377,6,Circle,0.0,KSG
378,6,Gaussian mixture,-0.013832395764837387,LMI
379,6,Gaussian mixture,0.07941119831176201,LMI-MINE
380,6,Gaussian mixture,-0.0002578070126741565,LMI-InfoNCE
381,6,Gaussian mixture,0.0,MINE
382,6,Gaussian mixture,0.0,InfoNCE
383,6,Gaussian mixture,0.13947934505249016,KSG
384,6,Circle,0.04326056138892717,LMI
385,6,Circle,0.06734313542132796,LMI-MINE
386,6,Circle,0.030876787321686885,LMI-InfoNCE
387,6,Circle,0.0,MINE
388,6,Circle,0.0,InfoNCE
389,6,Circle,0.0,KSG
390,6,Gaussian mixture,-0.11127636134798519,LMI
391,6,Gaussian mixture,-0.005528751295107941,LMI-MINE
392,6,Gaussian mixture,0.1250270456993801,LMI-InfoNCE
393,6,Gaussian mixture,0.0,MINE
394,6,Gaussian mixture,0.0,InfoNCE
395,6,Gaussian mixture,0.12639095623930496,KSG
