,Estimate,Label MI,Dimension,Measure,Time
0,-2.5797397629421297e-07,1.0,784,MINE,11.224819421768188
1,-2.751722413804938e-06,1.0,784,InfoNCE,28.651204109191895
2,2.149783135785108e-07,0.9828331957626193,784,MINE,6.24265718460083
3,-6.879306034512345e-07,0.9828331957626193,784,InfoNCE,27.755248069763184
4,2.5797397629421297e-07,0.9384020113103533,784,MINE,6.11426043510437
5,0.0,0.9384020113103533,784,InfoNCE,27.68739604949951
6,-5.503444827609876e-06,0.9087772954970008,784,MINE,6.35234808921814
7,0.0,0.9087772954970008,784,InfoNCE,27.837677001953125
8,-4.299566271570216e-08,0.847472671491218,784,MINE,6.3800365924835205
9,-4.1275836207074076e-06,0.847472671491218,784,InfoNCE,27.83519196510315
10,-1.7198265086280863e-07,0.7744644637043734,784,MINE,6.378468990325928
11,1.375861206902469e-06,0.7744644637043734,784,InfoNCE,27.401966094970703
12,-4.299566271570216e-08,0.7085272343157991,784,MINE,6.36276388168335
13,2.0637918103537038e-06,0.7085272343157991,784,InfoNCE,27.785500526428223
14,0.0,0.6385705548902489,784,MINE,6.29502272605896
15,-2.751722413804938e-06,0.6385705548902489,784,InfoNCE,27.8524649143219
16,-1.7198265086280863e-07,0.5838810487481294,784,MINE,6.45188570022583
17,2.0637918103537038e-06,0.5838810487481294,784,InfoNCE,28.21885848045349
18,-8.599132543140432e-08,0.4976757060564003,784,MINE,6.3960089683532715
19,2.0637918103537038e-06,0.4976757060564003,784,InfoNCE,27.742600202560425
20,-2.149783135785108e-07,0.4242034463249975,784,MINE,6.1703081130981445
21,2.751722413804938e-06,0.4242034463249975,784,InfoNCE,27.524442672729492
22,-4.299566271570216e-08,0.3441285585001792,784,MINE,6.09306526184082
23,2.0637918103537038e-06,0.3441285585001792,784,InfoNCE,27.53308391571045
24,3.4396530172561726e-07,0.28941429417778,784,MINE,8.120119094848633
25,6.879306034512345e-07,0.28941429417778,784,InfoNCE,27.469238996505737
26,-1.7198265086280863e-07,0.2240864384059924,784,MINE,6.148399591445923
27,3.439653017256173e-06,0.2240864384059924,784,InfoNCE,36.51408338546753
28,2.5797397629421297e-07,0.15568010622265627,784,MINE,6.237695932388306
29,-1.375861206902469e-06,0.15568010622265627,784,InfoNCE,27.66706132888794
30,-2.149783135785108e-07,0.10775216347309446,784,MINE,6.5724546909332275
31,0.0,0.10775216347309446,784,InfoNCE,27.90028715133667
32,-4.299566271570216e-08,0.05534264700363112,784,MINE,6.165242671966553
33,0.0,0.05534264700363112,784,InfoNCE,27.80033802986145
34,-8.599132543140432e-08,0.02542854071686773,784,MINE,6.491346597671509
35,0.000522139328019487,0.02542854071686773,784,InfoNCE,27.930711030960083
36,-2.149783135785108e-07,0.00999918566427671,784,MINE,6.216585397720337
37,-1.375861206902469e-06,0.00999918566427671,784,InfoNCE,27.62906312942505
38,2.5797397629421297e-07,0.00016666654924257784,784,MINE,6.449909687042236
39,-6.879306034512345e-07,0.00016666654924257784,784,InfoNCE,28.09979224205017
