,Estimate,True MI,Regularizer,Alpha,Lambda,Time
0,0.04972978554190007,0.0,models.AECross,1,0,2.198864221572876
1,-0.009506833739374805,0.0,models.AECross,0,1,0.5954482555389404
2,-0.018841043690791773,0.0,models.AECross,1,1,1.895094871520996
3,0.004162238885958544,0.0,models.AEMINE,1,0,2.0002386569976807
4,0.046902785070243154,0.0,models.AEMINE,0,1,0.2857542037963867
5,0.013933229070074611,0.0,models.AEMINE,1,1,1.8687446117401123
6,0.1228341675172151,0.0,models.AEInfoNCE,1,0,1.9650108814239502
7,-0.008160078202732325,0.0,models.AEInfoNCE,0,1,0.3469057083129883
8,-0.03402224102014918,0.0,models.AEInfoNCE,1,1,1.7243077754974365
9,-0.011479170766160384,0.010101010101010102,models.AECross,1,0,1.952749252319336
10,-0.04024886070115904,0.010101010101010102,models.AECross,0,1,0.40529298782348633
11,0.0812410641877638,0.010101010101010102,models.AECross,1,1,1.938643217086792
12,0.09713716657755893,0.010101010101010102,models.AEMINE,1,0,1.9252994060516357
13,0.04329909899581298,0.010101010101010102,models.AEMINE,0,1,0.47060179710388184
14,-0.007772302490412301,0.010101010101010102,models.AEMINE,1,1,1.8247506618499756
15,-0.04069648144848471,0.010101010101010102,models.AEInfoNCE,1,0,1.9386482238769531
16,0.03336098322184495,0.010101010101010102,models.AEInfoNCE,0,1,1.0187647342681885
17,0.0321304987361551,0.010101010101010102,models.AEInfoNCE,1,1,1.9543797969818115
18,0.038436335281936095,0.020202020202020204,models.AECross,1,0,1.970820426940918
19,-0.0023130725563174355,0.020202020202020204,models.AECross,0,1,0.8923068046569824
20,0.00835382622987714,0.020202020202020204,models.AECross,1,1,1.9806220531463623
21,0.10621569828475887,0.020202020202020204,models.AEMINE,1,0,1.8990716934204102
22,0.05366795549264751,0.020202020202020204,models.AEMINE,0,1,0.5132477283477783
23,0.06421437158406562,0.020202020202020204,models.AEMINE,1,1,1.87272047996521
24,-0.03666070127520133,0.020202020202020204,models.AEInfoNCE,1,0,1.9433605670928955
25,-0.026267910281050407,0.020202020202020204,models.AEInfoNCE,0,1,0.9350690841674805
26,-0.09604989830841802,0.020202020202020204,models.AEInfoNCE,1,1,1.9805097579956055
27,0.019202617870289904,0.030303030303030304,models.AECross,1,0,1.9549286365509033
28,-0.0049099367495913085,0.030303030303030304,models.AECross,0,1,1.1934247016906738
29,-0.0193303086451019,0.030303030303030304,models.AECross,1,1,1.997283935546875
30,0.05128337993362214,0.030303030303030304,models.AEMINE,1,0,1.9109833240509033
31,-0.0042247028849875645,0.030303030303030304,models.AEMINE,0,1,0.7767472267150879
32,0.06270826451989474,0.030303030303030304,models.AEMINE,1,1,1.9000823497772217
33,-0.0011871401855897475,0.030303030303030304,models.AEInfoNCE,1,0,1.9849269390106201
34,0.07410202256066407,0.030303030303030304,models.AEInfoNCE,0,1,0.913170576095581
35,0.06466182636469317,0.030303030303030304,models.AEInfoNCE,1,1,1.9693455696105957
36,0.059238889226755485,0.04040404040404041,models.AECross,1,0,1.9770007133483887
37,-0.012271953468946765,0.04040404040404041,models.AECross,0,1,0.8289062976837158
