,Estimate,True MI,Dimensions,Max layer size,Measure,Time
0,0.9108930396134004,1,10,16,MINE,9.95210862159729
1,0.9291754833307204,1,10,16,InfoNCE,5.87982964515686
2,0.7650286200151976,1,100,16,MINE,5.243169546127319
3,0.3702346197490061,1,100,16,InfoNCE,3.63912296295166
4,8.255167241414815e-06,1,1000,16,MINE,5.386247873306274
5,0.810174495823312,1,1000,16,InfoNCE,7.984323740005493
6,0.9445496144306249,1,10,64,MINE,6.889873504638672
7,0.7954032499060071,1,10,64,InfoNCE,4.562202215194702
8,0.7599117061954019,1,100,64,MINE,5.067857265472412
9,-0.36405149948518645,1,100,64,InfoNCE,3.7527384757995605
10,2.5797397629421297e-07,1,1000,64,MINE,5.12758207321167
11,-0.7508679984997811,1,1000,64,InfoNCE,8.681237936019897
12,0.23563618166954792,1,10,256,MINE,8.59762167930603
13,0.5744248056041946,1,10,256,InfoNCE,4.720507621765137
14,2.5797397629421297e-07,1,100,256,MINE,7.894126892089844
15,-1.4286172290199375,1,100,256,InfoNCE,5.045253276824951
16,1.7198265086280863e-07,1,1000,256,MINE,5.340366363525391
17,-2.2786297860891103,1,1000,256,InfoNCE,13.896413326263428
18,0.21674767109058737,1,10,1024,MINE,12.729138851165771
19,0.8160219059526476,1,10,1024,InfoNCE,14.396569728851318
20,1.7198265086280863e-07,1,100,1024,MINE,5.20159649848938
21,-1.8132130880465915,1,100,1024,InfoNCE,15.40617322921753
22,0.0005525802572222041,1,1000,1024,MINE,10.197674036026001
23,-87.85451117434681,1,1000,1024,InfoNCE,34.6016845703125
