,True MI,Ambient dimensions,Intrinsic dimensions,Estimator,Estimate
0,0.0,10,1,InfoNCE,0.0
1,0.0,10,1,MINE,0.0
2,0.0,10,1,KSG,0.009942317764430842
3,0.0,10,1,LMI,-0.013754521427952667
4,0.0,10,1,LMI-InfoNCE,0.008632177624621954
5,0.0,10,1,LMI-MINE,-0.050817240412224976
6,0.2222222222222222,10,1,InfoNCE,0.0
7,0.2222222222222222,10,1,MINE,0.054886887161658474
8,0.2222222222222222,10,1,KSG,0.17480492179588072
9,0.2222222222222222,10,1,LMI,0.16879929914530697
10,0.2222222222222222,10,1,LMI-InfoNCE,0.13433253910803544
11,0.2222222222222222,10,1,LMI-MINE,0.19016257557092647
12,0.4444444444444444,10,1,InfoNCE,0.07384659855807622
13,0.4444444444444444,10,1,MINE,0.3672785819459762
14,0.4444444444444444,10,1,KSG,0.3351123807452641
15,0.4444444444444444,10,1,LMI,0.3684686246397217
16,0.4444444444444444,10,1,LMI-InfoNCE,0.3834646436043794
17,0.4444444444444444,10,1,LMI-MINE,0.47068100422785697
18,0.6666666666666666,10,1,InfoNCE,0.4115455404168562
19,0.6666666666666666,10,1,MINE,0.5842589455631809
20,0.6666666666666666,10,1,KSG,0.42092789768867184
21,0.6666666666666666,10,1,LMI,0.6228742429064044
22,0.6666666666666666,10,1,LMI-InfoNCE,0.707454240706571
23,0.6666666666666666,10,1,LMI-MINE,0.639541799997766
24,0.8888888888888888,10,1,InfoNCE,0.6558014925476481
25,0.8888888888888888,10,1,MINE,0.8205083313743802
26,0.8888888888888888,10,1,KSG,0.590360677420115
27,0.8888888888888888,10,1,LMI,0.8057318987094334
28,0.8888888888888888,10,1,LMI-InfoNCE,0.8528240375029257
29,0.8888888888888888,10,1,LMI-MINE,0.8499879594698151
30,1.1111111111111112,10,1,InfoNCE,0.7334640421630684
31,1.1111111111111112,10,1,MINE,0.8885978966861493
32,1.1111111111111112,10,1,KSG,0.5952878684894082
33,1.1111111111111112,10,1,LMI,0.9700341076620737
34,1.1111111111111112,10,1,LMI-InfoNCE,1.0004096713540456
35,1.1111111111111112,10,1,LMI-MINE,1.0726078056784676
36,1.3333333333333333,10,1,InfoNCE,0.9461006399674311
37,1.3333333333333333,10,1,MINE,1.0102898107402827
38,1.3333333333333333,10,1,KSG,0.6627511870906017
39,1.3333333333333333,10,1,LMI,1.2259209780561255
40,1.3333333333333333,10,1,LMI-InfoNCE,1.189081766958834
41,1.3333333333333333,10,1,LMI-MINE,1.2935117775806262
42,1.5555555555555554,10,1,InfoNCE,1.1672386841692444
43,1.5555555555555554,10,1,MINE,1.3248223455625405
44,1.5555555555555554,10,1,KSG,0.7239662463469099
45,1.5555555555555554,10,1,LMI,1.528432350199458
46,1.5555555555555554,10,1,LMI-InfoNCE,1.481624763373688
47,1.5555555555555554,10,1,LMI-MINE,1.485471910520253
48,1.7777777777777777,10,1,InfoNCE,1.420510654788868
49,1.7777777777777777,10,1,MINE,1.5260937278586109
50,1.7777777777777777,10,1,KSG,0.8267526529194952
51,1.7777777777777777,10,1,LMI,1.6996391089673426
