,True MI,Ambient dimensions,Intrinsic dimensions,Estimator,Estimate,Transformation
97,2.0,1000,5,MINE,0.0,Half cube
98,2.0,1000,5,KSG,0.013353848864855303,Half cube
99,2.0,1000,5,LMI,1.0540272781001037,Half cube
100,0.0,1000,6,InfoNCE,0.0,Half cube
101,0.0,1000,6,MINE,0.0,Half cube
102,0.0,1000,6,KSG,0.05264209008654627,Half cube
103,0.0,1000,6,LMI,0.014609097953608867,Half cube
104,0.5,1000,6,InfoNCE,0.0,Half cube
105,0.5,1000,6,MINE,4.299566271570216e-07,Half cube
106,0.5,1000,6,KSG,0.059311371744917074,Half cube
107,0.5,1000,6,LMI,0.21433165503333054,Half cube
108,1.0,1000,6,InfoNCE,0.0,Half cube
109,1.0,1000,6,MINE,0.00433473672367166,Half cube
110,1.0,1000,6,KSG,0.0299722820245594,Half cube
111,1.0,1000,6,LMI,0.4409468028333489,Half cube
112,1.5,1000,6,InfoNCE,0.0,Half cube
113,1.5,1000,6,MINE,8.599132543140432e-08,Half cube
114,1.5,1000,6,KSG,0.012572612221941231,Half cube
115,1.5,1000,6,LMI,0.6619278894550018,Half cube
116,2.0,1000,6,InfoNCE,1.7198265086280865e-05,Half cube
117,2.0,1000,6,MINE,5.503444827609876e-06,Half cube
118,2.0,1000,6,KSG,0.018565219545474826,Half cube
119,2.0,1000,6,LMI,0.862618027632106,Half cube
120,0.0,1000,7,InfoNCE,9.631028448317285e-06,Half cube
121,0.0,1000,7,MINE,5.159479525884259e-07,Half cube
122,0.0,1000,7,KSG,0.039242189382555026,Half cube
123,0.0,1000,7,LMI,-0.0478804728814212,Half cube
124,0.5,1000,7,InfoNCE,0.0,Half cube
125,0.5,1000,7,MINE,0.0,Half cube
126,0.5,1000,7,KSG,-0.003640006954138265,Half cube
127,0.5,1000,7,LMI,0.2427611320263877,Half cube
128,1.0,1000,7,InfoNCE,6.397754612096482e-05,Half cube
129,1.0,1000,7,MINE,5.159479525884259e-07,Half cube
130,1.0,1000,7,KSG,0.027904242695249857,Half cube
131,1.0,1000,7,LMI,0.2821859594487405,Half cube
132,1.5,1000,7,InfoNCE,0.0,Half cube
133,1.5,1000,7,MINE,4.299566271570216e-07,Half cube
134,1.5,1000,7,KSG,-0.028160757322929702,Half cube
135,1.5,1000,7,LMI,0.5370515070078286,Half cube
136,2.0,1000,7,InfoNCE,0.0,Half cube
137,2.0,1000,7,MINE,1.7198265086280863e-07,Half cube
