,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
1987,KSG,10000,1,0.44052310292402364,13,13
1988,InfoNCE,10000,1,0.30650060106166305,25,25
1989,LMI ,10000,1,0.07870217084010733,25,25
1990,MINE,10000,1,0.22043566705568945,25,25
1991,KSG,10000,1,0.23528813398256507,25,25
1992,InfoNCE,10000,1,0.10892693175046848,37,37
1993,LMI ,10000,1,0.019566633343989497,37,37
1994,MINE,10000,1,0.06948683835870402,37,37
1995,KSG,10000,1,0.15401539243785134,37,37
1996,InfoNCE,10000,1,-0.257437390423521,50,50
1997,LMI ,10000,1,-0.02101812537681383,50,50
1998,MINE,10000,1,0.00015822403879378394,50,50
1999,KSG,10000,1,0.058736796459686186,50,50
